Day,Date,WW_Pred_M1,WW_Pred_M2,WW,Italy_Pred_M1,Italy_Pred_M2,Italy,US_Pred_M1,US_Pred_M2,US,Spain_Pred_M1,Spain_Pred_M2,Spain,Germany_Pred_M1,Germany_Pred_M2,Germany,India_Pred_M1,India_Pred_M2,India
1,2020-01-22,-8579.0,-8034.0,555.0,-2450.0,-1628.0,0.0,382.0,474.0,1.0,-69.0,-76.0,0.0,-116.0,-573.0,0.0,-2.0,-2.0,0.0
2,2020-01-23,-6433.0,-5902.0,654.0,-1831.0,-1277.0,0.0,319.0,385.0,1.0,-77.0,-81.0,0.0,-160.0,-520.0,0.0,-1.0,-1.0,0.0
3,2020-01-24,-4145.0,-3642.0,941.0,-1270.0,-950.0,0.0,258.0,301.0,2.0,-81.0,-83.0,0.0,-192.0,-460.0,0.0,-0.0,-0.0,0.0
4,2020-01-25,-1726.0,-1262.0,1434.0,-766.0,-648.0,0.0,199.0,222.0,2.0,-82.0,-81.0,0.0,-211.0,-394.0,0.0,0.0,1.0,0.0
5,2020-01-26,817.0,1231.0,2118.0,-319.0,-371.0,0.0,143.0,148.0,5.0,-79.0,-76.0,0.0,-218.0,-324.0,0.0,1.0,1.0,0.0
6,2020-01-27,3475.0,3829.0,2927.0,71.0,-120.0,0.0,90.0,79.0,5.0,-73.0,-69.0,0.0,-215.0,-250.0,1.0,2.0,2.0,0.0
7,2020-01-28,6237.0,6524.0,5578.0,407.0,104.0,0.0,40.0,16.0,5.0,-65.0,-59.0,0.0,-202.0,-174.0,4.0,2.0,2.0,0.0
8,2020-01-29,9094.0,9307.0,6166.0,689.0,302.0,0.0,-7.0,-41.0,5.0,-54.0,-48.0,0.0,-181.0,-97.0,4.0,3.0,3.0,0.0
9,2020-01-30,12036.0,12170.0,8234.0,919.0,472.0,0.0,-49.0,-92.0,5.0,-41.0,-34.0,0.0,-152.0,-20.0,4.0,3.0,3.0,1.0
10,2020-01-31,15051.0,15104.0,9927.0,1099.0,615.0,2.0,-88.0,-138.0,7.0,-27.0,-19.0,0.0,-117.0,57.0,5.0,3.0,3.0,1.0
11,2020-02-01,18130.0,18100.0,12038.0,1231.0,730.0,2.0,-123.0,-176.0,8.0,-11.0,-3.0,1.0,-77.0,131.0,8.0,3.0,3.0,1.0
12,2020-02-02,21259.0,21146.0,16787.0,1317.0,819.0,2.0,-153.0,-209.0,8.0,6.0,13.0,1.0,-32.0,201.0,10.0,3.0,3.0,2.0
13,2020-02-03,24429.0,24235.0,19881.0,1360.0,881.0,2.0,-179.0,-235.0,11.0,24.0,30.0,1.0,16.0,267.0,12.0,4.0,3.0,3.0
14,2020-02-04,27627.0,27355.0,23892.0,1361.0,918.0,2.0,-199.0,-254.0,11.0,41.0,48.0,1.0,65.0,328.0,12.0,3.0,3.0,3.0
15,2020-02-05,30841.0,30496.0,27635.0,1325.0,929.0,2.0,-215.0,-267.0,11.0,59.0,64.0,1.0,115.0,383.0,12.0,3.0,3.0,3.0
16,2020-02-06,34059.0,33648.0,30794.0,1254.0,915.0,2.0,-226.0,-273.0,11.0,76.0,80.0,1.0,164.0,430.0,12.0,3.0,3.0,3.0
17,2020-02-07,37269.0,36799.0,34391.0,1151.0,879.0,3.0,-231.0,-272.0,11.0,92.0,95.0,1.0,212.0,469.0,13.0,3.0,3.0,3.0
18,2020-02-08,40458.0,39938.0,37120.0,1020.0,821.0,3.0,-232.0,-265.0,11.0,106.0,108.0,1.0,256.0,498.0,13.0,3.0,3.0,3.0
19,2020-02-09,43615.0,43055.0,40150.0,864.0,744.0,3.0,-227.0,-251.0,11.0,119.0,119.0,2.0,296.0,518.0,14.0,3.0,2.0,3.0
20,2020-02-10,46727.0,46140.0,42762.0,688.0,648.0,3.0,-216.0,-232.0,11.0,129.0,128.0,2.0,332.0,528.0,14.0,2.0,2.0,3.0
21,2020-02-11,49782.0,49180.0,44802.0,496.0,537.0,3.0,-200.0,-206.0,12.0,137.0,134.0,2.0,360.0,527.0,16.0,2.0,2.0,3.0
22,2020-02-12,52770.0,52165.0,45221.0,292.0,413.0,3.0,-180.0,-175.0,12.0,142.0,137.0,2.0,382.0,515.0,16.0,2.0,1.0,3.0
23,2020-02-13,55679.0,55086.0,60368.0,80.0,279.0,3.0,-154.0,-140.0,13.0,143.0,137.0,2.0,396.0,492.0,16.0,1.0,1.0,3.0
24,2020-02-14,58500.0,57932.0,66885.0,-134.0,138.0,3.0,-124.0,-99.0,13.0,141.0,133.0,2.0,401.0,458.0,16.0,1.0,1.0,3.0
25,2020-02-15,61223.0,60695.0,69030.0,-346.0,-6.0,3.0,-90.0,-55.0,13.0,134.0,125.0,2.0,397.0,412.0,16.0,1.0,0.0,3.0
26,2020-02-16,63841.0,63366.0,71224.0,-550.0,-151.0,3.0,-52.0,-8.0,13.0,124.0,114.0,2.0,382.0,356.0,16.0,0.0,0.0,3.0
27,2020-02-17,66346.0,65937.0,73258.0,-741.0,-291.0,3.0,-11.0,41.0,13.0,109.0,98.0,2.0,358.0,290.0,16.0,0.0,0.0,3.0
28,2020-02-18,68734.0,68404.0,75136.0,-914.0,-421.0,3.0,33.0,91.0,13.0,90.0,78.0,2.0,324.0,215.0,16.0,-0.0,-0.0,3.0
29,2020-02-19,71001.0,70760.0,75639.0,-1062.0,-538.0,3.0,78.0,141.0,13.0,66.0,54.0,2.0,281.0,132.0,16.0,-0.0,-0.0,3.0
30,2020-02-20,73146.0,73003.0,76197.0,-1179.0,-636.0,3.0,123.0,191.0,13.0,39.0,26.0,2.0,227.0,43.0,16.0,-0.0,0.0,3.0
31,2020-02-21,75170.0,75133.0,76819.0,-1259.0,-709.0,20.0,169.0,238.0,15.0,8.0,-4.0,2.0,166.0,-51.0,16.0,0.0,0.0,3.0
32,2020-02-22,77077.0,77151.0,78572.0,-1296.0,-752.0,62.0,212.0,281.0,15.0,-25.0,-37.0,2.0,97.0,-148.0,16.0,0.0,1.0,3.0
